id_full,tree,id,style,top,left
pendula_82,pendula,82,position: absolute; top: 21.49%; left: 3.27%;,21.49,3.27
pendula_78,pendula,78,position: absolute; top: 21.49%; left: 0%;,21.49,0
ukon_162,ukon,162,position: absolute; top: 36.14%; left: 53.64%;,36.14,53.64
ukon_155,ukon,155,position: absolute; top: 1.2%; left: 81.09%;,1.2,81.09
taki_nioi_163,taki_nioi,163,position: absolute; top: 40.16%; left: 45.45%;,40.16,45.45
shogetsu_140,shogetsu,140,position: absolute; top: 80.32%; left: 69.45%;,80.32,69.45
sieboldii_161,sieboldii,161,position: absolute; top: 38.15%; left: 58.18%;,38.15,58.18
yae_beni_shidare_126,yae_beni_shidare,126,position: absolute; top: 13.65%; left: 75.09%;,13.65,75.09
horinji_157,horinji,157,position: absolute; top: 85.94%; left: 38.55%;,85.94,38.55
dawyckensis_90,dawyckensis,90,position: absolute; top: 86.75%; left: 33.45%;,86.75,33.45
sieboldii_160,sieboldii,160,position: absolute; top: 40.76%; left: 57.64%;,40.76,57.64
ukon_158,ukon,158,position: absolute; top: 35.34%; left: 60.18%;,35.34,60.18
shirotae_146,shirotae,146,position: absolute; top: 20.88%; left: 87.27%;,20.88,87.27
shirotae_145,shirotae,145,position: absolute; top: 16.47%; left: 87.27%;,16.47,87.27
pendula_128,pendula,128,position: absolute; top: 19.28%; left: 72.36%;,19.28,72.36
pendula_135,pendula,135,position: absolute; top: 62.25%; left: 62.91%;,62.25,62.91
pendula_132,pendula,132,position: absolute; top: 57.23%; left: 70.91%;,57.23,70.91
pendula_130,pendula,130,position: absolute; top: 51%; left: 74.55%;,51,74.55
shirotae_153,shirotae,153,position: absolute; top: 30.72%; left: 83.64%;,30.72,83.64
ojochin_108,ojochin,108,position: absolute; top: 28.11%; left: 32.36%;,28.11,32.36
shirotae_103,shirotae,103,position: absolute; top: 67.87%; left: 38.18%;,67.87,38.18
taoyame_110,taoyame,110,position: absolute; top: 36.14%; left: 32.73%;,36.14,32.73
taoyame_89,taoyame,89,position: absolute; top: 81.12%; left: 33.45%;,81.12,33.45
kanzan_123,kanzan,123,position: absolute; top: 61.85%; left: 45.45%;,61.85,45.45
kanzan_121,kanzan,121,position: absolute; top: 55.62%; left: 41.82%;,55.62,41.82
kanzan_120,kanzan,120,position: absolute; top: 52.01%; left: 39.64%;,52.01,39.64
kanzan_119,kanzan,119,position: absolute; top: 48.19%; left: 38.91%;,48.19,38.91
kanzan_102,kanzan,102,position: absolute; top: 65.66%; left: 41.45%;,65.66,41.45
kanzan_101,kanzan,101,position: absolute; top: 61.65%; left: 39.27%;,61.65,39.27
kanzan_98,kanzan,98,position: absolute; top: 49.6%; left: 35.09%;,49.6,35.09
kanzan_97,kanzan,97,position: absolute; top: 45.58%; left: 34.55%;,45.58,34.55
kanzan_95,kanzan,95,position: absolute; top: 37.55%; left: 35.64%;,37.55,35.64
kanzan_94,kanzan,94,position: absolute; top: 33.53%; left: 36.36%;,33.53,36.36
