date,alt,tree,id,bloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3783,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3772,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3804,Prebloom
2017-03-23,Prunus × yeodensis ‘Akebono’,akebono,3836,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3740,Prebloom
2017-03-23,Prunus × dawyckensis,dawyckensis,3821,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3853,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3757,Prebloom
2017-03-23,Prunus subhirtella,subhirtella,3885,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3789,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3870,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3806,Prebloom
2017-03-23,Prunus sargentii ‘Fudan-zakura’,fudan_zakura,3838,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3742,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3823,Prebloom
2017-03-23,Prunus sargentii ‘Fudan-zakura’,fudan_zakura,3855,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3759,Prebloom
2017-03-23,Prunus × sieboldii,sieboldii,3887,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3791,Prebloom
2017-03-23,Prunus ‘Shirotae’,shirotae,3872,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3776,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3808,Prebloom
2017-03-23,Prunus ‘Jugatsu-zakura’,jugatsu_zakura,3840,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3744,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3761,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3824,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3809,Prebloom
2017-03-23,Prunus serrulata ‘Taoyame’,taoyame,3841,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3745,Prebloom
2017-03-23,Prunus ‘Shirotae’,shirotae,3873,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3777,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3762,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3826,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3858,Prebloom
2017-03-23,Prunus × hillieri ‘Spire’,spire,3819,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3851,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3755,Prebloom
2017-03-23,Prunus serrulata ‘Horinji’,horinji,3883,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3787,Prebloom
2017-03-23,Prunus × yedoensis,yedoensis,3868,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3793,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3825,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3857,Prebloom
2017-03-23,Prunus ‘Shirotae’,shirotae,3810,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3746,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3778,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3763,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3795,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3827,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3859,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3844,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3748,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3876,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3780,Prebloom
2017-03-23,Prunus ‘Accolade’,accolade,3812,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3797,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3829,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3861,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3765,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3846,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3750,Prebloom
2017-03-23,Prunus ‘Accolade’,accolade,3878,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3782,Prebloom
2017-03-23,Prunus pendula ‘Yae-Beni-Shidare’,yae_beni_shidare,3814,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3799,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3831,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3735,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3863,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3767,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3848,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3752,Prebloom
2017-03-23,Prunus ‘Shirotae’,shirotae,3880,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3784,Prebloom
2017-03-23,Prunus × hillieri ‘Spire’,spire,3816,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3801,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3833,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3737,Prebloom
2017-03-23,Prunus × yedoensis,yedoensis,3865,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3769,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3850,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3754,Prebloom
2017-03-23,Prunus × yedoensis,yedoensis,3882,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3786,Prebloom
2017-03-23,Prunus ‘Okame’,okame,3818,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3803,Prebloom
2017-03-23,Prunus subhirtella ‘Rosy Cloud’,rosy_cloud,3835,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3739,Prebloom
2017-03-23,Prunus serrulata ‘Shogetsu’,shogetsu,3867,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3771,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3852,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3756,Prebloom
2017-03-23,Prunus serrulata ‘Ukon’,ukon,3884,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3788,Prebloom
2017-03-23,Prunus serrulata ‘Taoyame’,taoyame,3820,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3805,Prebloom
2017-03-23,Prunus serrulata ‘Hatazakura’,hatazakura,3837,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3741,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3869,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3773,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3854,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3758,Prebloom
2017-03-23,Prunus × sieboldii,sieboldii,3886,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3790,Prebloom
2017-03-23,Prunus serrulata ‘Kuramayama’,kuramayama,3822,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3807,Prebloom
2017-03-23,Prunus serrulata ‘Ojochin’,ojochin,3839,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3743,Prebloom
2017-03-23,Prunus × yedoensis,yedoensis,3871,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3775,Prebloom
2017-03-23,Prunus pendula ‘Yae-Beni-Shidare’,yae_beni_shidare,3856,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3760,Prebloom
2017-03-23,Prunus ‘Snow Goose’,prunus_snow_goose,3911,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3792,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3798,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3794,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3875,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3779,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3811,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3843,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3747,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3828,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3860,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3764,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3796,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3877,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3781,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3813,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3845,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3749,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3734,Prebloom
2017-03-23,Prunus subhirtella ‘Pendula’,pendula,3862,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3766,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3751,Prebloom
2017-03-23,Prunus ‘Accolade’,accolade,3879,Prebloom
2017-03-23,Prunus pendula ‘Yae-Beni-Shidare’,yae_beni_shidare,3815,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3847,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3832,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3736,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3768,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3800,Prebloom
2017-03-23,Prunus serrulata ‘Shogetsu’,shogetsu,3864,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3849,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3753,Prebloom
2017-03-23,Prunus serrulata ‘Ariake’,ariake,3881,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3785,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3817,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3802,Prebloom
2017-03-23,Prunus ‘Shirotae’,shirotae,3834,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3738,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3866,Prebloom
2017-03-23,Prunus ‘Kanzan’,kanzan,3770,Prebloom
